Site #,Vendor Name,Vendor Link,SiteName,Location,City,State,Zip,Outage Map Flag,Latitude,Longitude
0020,PG&E,https://www.pge.com/outagestatus,WCDC 20,"5205 Wheeler Ridge Road, Suite A",ARVIN,CALIFORNIA,93203,N/A,34.987,-118.942
0024,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Golden CO (Denver),16000 West Colfax Avenue,GOLDEN,COLORADO,80401,N/A,39.72745,-105.178871
0029,ATLANTIC CITY ELECTRIC,https://www.atlanticcityelectric.com/outages/experiencing-an-outage/view-outage-map,BRIDGEPORT,602 Heron Dr,BRIDGEPORT,NEW JERSEY,8014,N/A,39.801,-75.348
0030,ROCKY MOUNTAIN POWER,https://www.rockymountainpower.net/outages-safety.html,Draper UT,13153 Minuteman Drive,DRAPER,UTAH,84020,N/A,40.522,-111.876
0031,TEP - TUCSON ELECTRIC POWER,https://www.tep.com/outages/,Tucson AZ,4700 South Palo Verde Road,TUCSON,ARIZONA,85714,N/A,32.166,-110.917
0032,NOVEC,https://www.novec.com/Stormcenter/index.cfm,Manassas VA,10850 BALLS FORD RD A,MANASSAS,VIRGINIA,20109,N/A,38.79,-77.52
0033,NEW BRAUNFELS UTILITIES,https://oms.nbutexas.com/,NEW BRAUNFELS,3891 N IH 35,NEW BRAUNFELS,TEXAS,78130,N/A,29.736073,-98.072174
0036,CITY OF STATESVILLE,https://www.statesvillenc.net/public-power,Statesville NC,1220 Morland Drive,STATESVILLE,NORTH CAROLINA,28677,No Dedicated Outage Map,35.782,-80.93
0037,OG&E,https://outagemap.oge.com/,Oklahoma City OK,13111 North Broadway Ext. - Well,OKLAHOMA CITY,OKLAHOMA,73114,N/A,35.603,-97.504
0038,NEW YORK STATE ELEC & GAS CORP,https://portal.nyseg.com/outages/map,Hamburg NY,5533 CAMP RD,HAMBURG,NEW YORK,14075,N/A,42.715,-78.829
0039,PNM ELECTRIC & GAS SERVICES,https://outagemap.pnm.com/,Albuquerque NM,14303 I40 west Frontage Rd NW,ALBUQUERQUE,NEW MEXICO,87121,N/A,35.084,-106.799
0042,DUKE ENERGY,https://outagemap.duke-energy.com/,Spartanburg SC,114 Best Drive,SPARTANBURG,SOUTH CAROLINA,29303,N/A,34.981,-81.964
0045,TALQUIN,https://www.talquinelectric.com/safety-reliability/outage-center/,Tallahassee FL,31300 Blue Star Highway (Main Building),MIDWAY,FLORIDA,32343,N/A,30.546,-84.454
0047,EPB,https://epb.com/outage-storm-center/,Chattanooga TN,6728 Ringgold Rd Bidg 3,CHATTANOOGA,TENNESSEE,37412,N/A,34.995,-85.216
0049,PACIFIC POWER,https://www.pacificpower.net/outages-safety.html,Eugene OR (Coburg),90855 Roberts Road,EUGENE,OREGON,97408,N/A,44.157,-123.073
0053,PUGET SOUND ENERGY,https://www.pse.com/en/outage/outage-map,BURLINGTON,1240 OLD HIGHWAY 99 NORTH RD # A,BURLINGTON,WASHINGTON,98233,N/A,48.47,-122.338
0056,FPL,https://www.fplmaps.com/,St. Augustine FL,600 Outlet Mall Blvd - Ste 102,St. Augustine,FLORIDA,32080,N/A,29.839,-81.357
0058,CITY OF ROBERTSDALE,http://www.robertsdale.org/utilities-information,Robertsdale AL,21282 State Hwy 59 South,ROBERTSDALE,ALABAMA,36567,No Dedicated Outage Map,30.542,-87.709
0062,UNITIL,http://unitil.muni.maps.sienatech.com/,Chichester NH,2300 Buffalo Rd,ROCHESTER,NEW YORK,14624,N/A,43.125,-77.74
0063,Georgia Power Co,"",Pooler GA (Savannah),129 Continental Blvd,POOLER,GEORGIA,31322,N/A,32.114,-81.244
0064,NATIONAL GRID,https://www.nationalgridus.com/MA-Home/Outage-Central/Outage-Map,Syracuse NY,7030 Interstate Island Road,SYRACUSE,NEW YORK,13209,N/A,43.082,-76.238
0065,Jersey Central Power & Light,"",Lakewood NJ,1359 River Avenue,LAKEWOOD,NEW JERSEY,8701,N/A,40.094,-74.217
0066,VILLAGE OF CHURCHVILLE,https://churchvilleny.gov/churchville-village-electric/,Churchville NY,1000 Sanford Road Churchville,CHURCHVILLE,NEW YORK,14428,No Dedicated Outage Map,43.105,-77.885
0069,JOHNSON COUNTY REMC,https://jcremc.outagemap.coop/,Greenwood IN (Indianapolis),"303 Sheek Road, Suite 2",GREENWOOD,INDIANA,46143,N/A,39.572,-86.072
0072,DTE ENERGY,https://outage.dteenergy.com/map,Grand Rapids MI,"201 76th St Sw Unit A,",GRAND RAPIDS,MICHIGAN,49548,N/A,42.896,-85.673
0074,NORTH LITTLE ROCK ELECTRIC,https://outagemap.nlrelectric.com/,LITTLE ROCK,9801 Diamond Dr,NORTH LITTLE ROCK,ARKANSAS,72117,N/A,34.836,-92.178
0079,COBB EMC,https://outagemap.cobbemc.com/,Woodstock GA,505 Parkway 575,WOODSTOCK,GEORGIA,30188,N/A,34.09,-84.505
0084,Georgia Power Co,"",MACON,225 W E GREEN JR PKWY,BYRON,GEORGIA,31008,N/A,32.653,-83.761
0087,CITY OF ROSEVILLE,https://www.roseville.ca.gov/electric_utility/safety/outages.php,Roseville CA,1029 Orlando Av,ROSEVILLE,CALIFORNIA,95661,N/A,38.752,-121.271
0088,ALABAMA POWER,https://outagemap.alabamapower.com/,Anniston AL (Oxford),20 GARRET Circle,ANNISTON,ALABAMA,36207,N/A,33.661,-85.826
0090,PG&E,https://www.pge.com/outagestatus,Fresno CA,3672 South Maple Avenue -RV Sales,FRESNO,CALIFORNIA,93725,N/A,36.691,-119.781
0093,LIBERTY UTILITIES - EMPIRE DISTRICT,https://central.libertyutilities.com/all/residential/emergencies-outages/outages-map.html,SPRINGFIELD.,373 Evergreen E,STRAFFORD,MISSOURI,65757,N/A,37.263,-93.117
0094,ALABAMA POWER,https://outagemap.alabamapower.com/,Calera AL,730 George Roy Parkway,CALERA,ALABAMA,35040,N/A,33.109,-86.759
0095,IDAHO POWER CO,https://tools.idahopower.com/outage,Meridian ID (Boise),1580 West Overland Road,MERIDIAN,IDAHO,83642,N/A,43.59,-116.413
0096,MID-CAROLINA ELECTRIC COOPERATIVE INC,https://mcecoop.maps.arcgis.com/apps/webappviewer/index.html?id=bcd794b1efa8472ea0de2a08723a88f9,COLUMBIA,3634 FERNANDINA RD,COLUMBIA,SOUTH CAROLINA,29210,N/A,34.057,-81.148
0125,CONSUMERS ENERGY,https://www.consumersenergy.com/OutageMap,Houghton Lake MI,2735 West Houghton Lake Drive,HOUGHTON LAKE,MICHIGAN,48629,N/A,44.315,-84.764
0126,CITY OF REDDING,https://reuoutage.ci.redding.ca.us/POP/pages/outage-map.html?ServiceType=Electric,Redding,3051 Myers St,RIVERSIDE,CALIFORNIA,92503,N/A,33.909,-117.437
0127,DUKE ENERGY,https://outagemap.duke-energy.com/,Ocala FL (Summerfield),14200 South U.S. Highway 441 Summerfield,OCALA,FLORIDA,34481,N/A,28.978,-82.016
0129,AVISTA,https://outagemap.myavista.com/,Liberty Lake,19651 East Cataldo Avenue,LIBERTY LAKE,WASHINGTON,99019,N/A,47.674,-117.141
0136,DUKE ENERGY,https://outagemap.duke-energy.com/,Raleigh NC (Garner),2300 US Hwy 70 East Garner,RALEIGH,NORTH CAROLINA,27635,N/A,35.711,-78.579
0138,DUKE ENERGY,https://outagemap.duke-energy.com/,Asheville NC (Hendersonville),2918 N. Rugby Road Hendersonville,ASHEVILLE,NORTH CAROLINA,28802,N/A,35.353,-82.458
0142,DUKE ENERGY,https://outagemap.duke-energy.com/,Holiday FL (New Port Richey),2112 US Highway 19 Holiday,HOLIDAY,FLORIDA,34691,N/A,28.187,-82.739
0144,CENTRAL HUDSON GAS AND ELECTRIC CORPORATION,https://outagemap.cenhud.com/,Kingston NY,124 Route 28,KINGSTON,NEW YORK,12401,N/A,41.931,-74.018
0148,WE ENERGIES,https://www.we-energies.com/outagemapext/,Saukville WI,800 East Green Bay Avenue,SAUKVILLE,WISCONSIN,53080,N/A,43.383,-87.94
0155,BOONE ELECTRIC COOPERATIVE,https://nis.booneelectric.com/dmsoutagemap/default.html,Columbia MO,8877 Interstate 70 Drive Northeast,COLUMBIA,MISSOURI,65202,N/A,38.996,-92.235
0157,EVERGY,https://outagemap.evergy.com/,Grain Valley MO (Kansas City),3001 Northeast Jefferson Road Grain,GRAIN VALLEY,MISSOURI,64029,N/A,39.018,-94.172
0158,TXU Energy,"",Lubbock TX,1605 S LOOP 289,LUBBOCK,TEXAS,79423,Retail Provider - Uses Utility Outage Maps,33.578,-101.862
0160,NORTH CENTRAL ELECTRIC COOPERATIVE,https://outages.northcentralelectric.com/outages,Olive Branch MS,8150 New Craft Road Olive Branch,OLIVE BRANCH,MISSISSIPPI,38654,N/A,34.9349,-89.7861
0162,CEDAR FALLS UTILITIES,https://www.cfu.net/utilities/electric-service/live-power-outage-map,Cedar Falls IA,7805 Ace Place Cedar Falls,CEDAR FALLS,IOWA,50613,N/A,42.5709,-92.5308
0163,BLACK HILLS ENERGY,"",Rapid City SD,10400 Recreational Drive Summerset,RAPID CITY,SOUTH DAKOTA,57703,N/A,44.2048,-103.373
0164,TOLEDO EDISON,https://outages-oh.firstenergycorp.com/,Rossford,28000 SPORTSMANS DR,ROSSFORD,OHIO,43460,N/A,41.5345,-83.5657
0166,ENTERGY,https://www.myentergy.com/s/outagemap,Jackson MS,4601 I-55 South Frontage Road,JACKSON,MISSISSIPPI,39212,N/A,32.2486,-90.1843
0167,EASTERN IOWA LIGHT & POWER COOPERATIVE,https://easterniowa.outagemap.coop/,Davenport IA,14044 110TH AVE,DAVENPORT,IOWA,52803,N/A,41.5661,-90.4707
0169,CITY OF IDAHO FALLS,https://www.ifpower.org/outages/report-a-power-outage,Idaho Falls ID,1355 Tara Road Idaho Falls,IDAHO FALLS,IDAHO,83402,N/A,43.4798,-112.0658
0177,AMEREN MISSOURI,https://outagemap.ameren.com/external/default.html,Wentzville MO,2200 East Pitman Avenue Wentzville,WENTZVILLE,MISSOURI,63385,N/A,38.8164,-90.8225
0182,RICHMOND POWER & LIGHT,https://ebilling.rp-l.com/maps/OutageWebMap/,Richmond IN,2250 Williamsburg Pike Richmond,RICHMOND,INDIANA,47374,N/A,39.8285,-84.8506
0183,DUKE ENERGY,https://outagemap.duke-energy.com/,Marion NC,1885 US 70 West Marion,MARION,NORTH CAROLINA,28752,N/A,35.6787,-82.0282
0184,CITY OF CONCORD,https://outagemap.concordnc.gov/,Concord NC,6600 Bruton Smith BLVD-RV #24,CONCORD,NORTH CAROLINA,28027,N/A,35.3521,-80.7112
0187,SOUTHWESTERN ELECTRIC POWER,"",Bossier City LA (Shreveport),3625 Industrial Drive,BOSSIER CITY,LOUISIANA,71112,N/A,32.4568,-93.6694
0189,COAST ELECTRIC,https://outages.coastelectric.coop/,Biloxi MS,12020 Shrinners  Boulevard Biloxi,BILOXI,MISSISSIPPI,39532,N/A,30.456,-88.8853
0190,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Monticello MN,3887 Chelsea Road West,MONTICELLO,MINNESOTA,55362,N/A,45.3201,-93.8376
0191,PUBLIC SERVICE COMPANY OF OK,https://outagemap.psoklahoma.com/,Tulsa OK,9005 East Skelly Drive Tulsa,TULSA,OKLAHOMA,74129,N/A,36.1045,-95.8762
0192,OG&E,https://outagemap.oge.com/,Poteau OK,34189 US Highway 59 Servic,POTEAU,OKLAHOMA,74953,N/A,35.0308,-94.5815
0199,RAPPAHANNOCK ELECTRIC COOP.,https://outagemap.myrec.coop/,Thornburg VA,6101 Mallard Road Thornburg,THORNBURG,VIRGINIA,22565,N/A,38.3157,-77.5034
0202,SANTEE COOPER,https://stormcenter.santeecooper.com/,MYRTLE BEACH,3632 Highway 501,MYRTLE BEACH,SOUTH CAROLINA,29579,N/A,33.7375,-78.9507
0203,DUKE ENERGY,https://outagemap.duke-energy.com/,Bartow FL,7400 SR 60 East Bartow,BARTOW,FLORIDA,33830,N/A,27.8936,-81.7449
0208,West Penn Power,https://outages-pa.firstenergycorp.com/?c=External_PANY&o=View_by_Area,Apollo PA,537 State Route 356 Apollo,APOLLO,PENNSYLVANIA,15613,N/A,40.5788,-79.5803
0212,ROCK ENERGY COOP.,https://rock.outagemap.coop/,Roscoe IL,6135 All World Way Roscoe,ROSCOE,ILLINOIS,61073,N/A,42.4398,-89.009
0213,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Sioux Falls SD,1601 East Robur Drive Sioux Falls,SIOUX FALLS,SOUTH DAKOTA,57104,N/A,43.5299,-96.7065
0219,COMED,https://www.comed.com/outages/experiencing-an-outage/outage-map,ISLAND LAKE,4450 Darrell Rd,WAUCONDA,ILLINOIS,60084,N/A,42.2658,-88.1557
0220,FRANKLIN PUD,https://franklinpud.outagemap.coop/,Pasco WA,9420 Sandifur Parkway  Pasco,PASCO,WASHINGTON,99301,N/A,46.2619,-119.1486
0224,UNITED POWER,https://outages.unitedpower.com/outages/,Longmont CO,4047 CAMELOT CIR TRAILER LOT,LONGMONT,COLORADO,80513,N/A,40.1674,-105.1019
0225,OHIO EDISON,https://outages-oh.firstenergycorp.com/,Akron OH,1005 Interstate Parkway Akron,AKRON,OHIO,44312,N/A,40.999,-81.4648
0225,OHIO EDISON,https://outages-oh.firstenergycorp.com/,Akron OH,2135 Massillon RD WHSE,AKRON,OHIO,44312,N/A,40.999,-81.4648
0230,KAYSVILLE CITY,https://www.kaysville.gov/960/Outages,Kaysville UT,780 North 900 West Lot 17,KAYSVILLE,UTAH,84037,N/A,41.0487,-111.9609
0233,RELIANT,https://www.reliant.com/en/residential/help-support/contact/report-an-outage,FORT WORTH,6001 QUEBEC ST,FORT WORTH,TEXAS,76135,Retail Provider - Uses Utility Outage Maps,32.8508,-97.4877
0236,DUKE ENERGY,https://outagemap.duke-energy.com/,Colfax  NC,1071 Boulder Rd zip 27409,COLFAX,NORTH CAROLINA,27235,N/A,36.0952,-80.0064
0237,OG&E,https://outagemap.oge.com/,Oklahoma City KS,4901 South Anderson Road Oklahoma City,OKLAHOMA CITY,OKLAHOMA,73150,N/A,35.4163,-97.3169
0238,PG&E,https://www.pge.com/outagestatus,Anderson,3800 Auto Mall Dr,ANDERSON,CALIFORNIA,96007,N/A,40.4476,-122.2975
0241,SRP,https://myaccount.srpnet.com/power/myaccount/outages,Avondale AZ,10255 West Papago Freeway Avondale,AVONDALE,ARIZONA,85323,N/A,33.4458,-112.2809
0242,CONNEXUS ENERGY,https://experience.arcgis.com/experience/3ef36487143d4dc28dad813f667a40d9,Hugo MN,14025 West Freeway Drive Hugo,HUGO,MINNESOTA,55038,N/A,45.1593,-92.993
0246,PPL ELECTRIC UTILITIES CORP,https://omap.prod.pplweb.com/OMAP,Harrisburg PA,7501 Allentown  Boulevard Harrisburg,HARRISBURG,PENNSYLVANIA,17112,N/A,40.3328,-76.7582
0255,FPL,https://www.fplmaps.com/,Cocoa FL,4700 King St,COCOA,FLORIDA,32926,N/A,28.3838,-80.7918
0260,CITY OF PIQUA,https://piquaoh.org/228/Power-System,Piqua OH,8793 North Country Road 25A  - RV,PIQUA,OHIO,45356,No Dedicated Outage Map,40.1975,-84.2736
0261,CONSUMERS ENERGY,https://www.consumersenergy.com/OutageMap,Birch Run MI,11600 North Beyer Road Birch Run,BIRCH RUN,MICHIGAN,48415,N/A,43.2749,-83.7948
0263,SOUTH CENTRAL ELECTRIC ASSOCIATION,https://proxy.star-mapping.com/SouthCentralPublic/Maps/SystemMap,Madelia MN,84601 Olson Drive Madelia,MADELIA,MINNESOTA,56062,N/A,44.0384,-94.4045
0264,PEOPLES ENERGY COOP.,https://peoplesrec.outagemap.coop/,Rochester MN,1280 Lake Shady Ave,ROCHESTER,MINNESOTA,55906,N/A,44.0367,-92.4452
0267,AMEREN MISSOURI,https://outagemap.ameren.com/external/default.html,Cape Girardeau MO,49 Airport Rd Cape Girardeau,CAPE GIRARDEAU,MISSOURI,63703,N/A,37.2288,-89.5706
0268,BLACK HILLS ENERGY,"",Cheyenne WY,8910 Hutchins Drive Cheyenne,CHEYENNE,WYOMING,82007,N/A,41.0947,-104.9368
0269,LINCOLN ELECTRIC SYSTEMS,https://lincolnelectric.outagemap.coop/,Lincoln NE,6340 Arbor Rd Lincoln,LINCOLN,NEBRASKA,68517,N/A,40.747,-96.6335
0274,PACIFIC POWER,https://www.pacificpower.net/outages-safety.html,Medford OR,938 Chevy Way Medford,MEDFORD,OREGON,97504,N/A,42.3817,-122.8726
0276,DOMINION ENERGY SOUTH CAROLINA,https://outagemap.dominionenergysc.com/,Ridgeland SC,401 Sycamore Drive Ridgeland,RIDGELAND,SOUTH CAROLINA,29936,N/A,32.4702,-80.9808
0279,COMED,https://www.comed.com/outages/experiencing-an-outage/outage-map,Braidwood IL,800 EZ Street Braidwood,BRAIDWOOD,ILLINOIS,60408,N/A,41.2684,-88.2123
0281,WEST BOYLSTON MUNICIPAL LIGHTING PLANT,https://www.wbmlp.org/customer-service.html,West Boylston MA,66 Street West West Boylston,WEST BOYLSTON,MASSACHUSETTS,1583,No Dedicated Outage Map,42.3633,-71.7868
0283,NATIONAL GRID,https://www.nationalgridus.com/MA-Home/Outage-Central/Outage-Map,Uxbridge MA,865 Quaker Hwy Uxbridge MA,UXBRIDGE,MASSACHUSETTS,1569,N/A,42.0776,-71.6414
0284,CITY OF ST. GEORGE UTILITY BILL,https://www.dixiepower.com/outage-map/,St. George UT,341 East Sunland Drive St. George,SAINT GEORGE,UTAH,84790,N/A,37.0837,-113.5768
0286,MON POWER,https://www.firstenergycorp.com/outages_help/current_outages_maps/outages-map.html,Fairmont WV,2386 White Hall Blvd White Hall,FAIRMONT,WEST VIRGINIA,26554,N/A,39.2745,-80.177
0287,City of Escanaba Michigan,https://gis.escanaba.org/PublicOutageMap/,Escanaba MI,2905 N Lincoln Rd Escanaba,ESCANABA,MICHIGAN,49829,N/A,47.6739,-117.216
0290,MINNESOTA POWER,https://www.mnpower.com/OutageCenter/OutageMap,Little Falls,4275 Haines Rd,HERMANTOWN,MINNESOTA,55811,N/A,46.8397,-92.2364
0295,IDAHO POWER CO,https://tools.idahopower.com/outage,Caldwell ID,5500 Cleveland Boulevard Caldwell,CALDWELL,IDAHO,83607,N/A,30.329,-81.9498
0311,KANSAS CITY BOARD OF PUBLIC UTILITIES,https://outage.bpu.com/,Kansas City KS,1201 N 98th St,KANSAS CITY,KANSAS,66111,N/A,39.1198,-94.8046
0312,YELLOWSTONE VALLEY ELECTRIC COOPERATIVE,https://www.yvec.com/test-outage-map/,Billings MT,976 Rosebud Ln,BILLINGS,MONTANA,59101,N/A,45.7684,-108.5287
0313,WHITE RIVER VALLEY ELECTRIC COOPERATIVE,https://whiteriver.outagemap.coop/,Branson MO,1342 SW Outer Rd,BRANSON,MISSOURI,65616,N/A,36.6287,-93.2654
0316,COLTON PUBLIC UTILITIES,http://coltonca.gov/966/Electric-Grid-Outage-Map,Colton CA,1175 S. Mount Vernon Ave,COLTON,CALIFORNIA,92324,N/A,34.0538,-117.3132
0318,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,Menifee CA,12438 Michigan Ave,GRAND TERRACE,CALIFORNIA,92313,N/A,34.0332,-117.3124
0319,RIVERSIDE PUBLIC UTILITIES,https://riversideca.gov/outages/v3/index.html,Riverside CA,10717 Indiana Ave,RIVERSIDE,CALIFORNIA,92503,N/A,33.9158,-117.4459
0324,SOUTHERN CALIFORNIA EDISON,https://www.sce.com/outages-safety/outage-center/check-outage-status,Temecula CA,27590 Jefferson Ave STE A,TEMECULA,CALIFORNIA,92590,N/A,33.7315,-117.1466
0326,APS,https://outagemap.aps.com/outageviewer/?src=outagemap/1000,New River AZ,44019 N Black Canyon Hwy,NEW RIVER,ARIZONA,85087,N/A,33.8878,-112.1472
0327,PUGET SOUND ENERGY,https://www.pse.com/en/outage/outage-map,Silverdale WA,11572 Clear Creek Rd NW,SILVERDALE,WASHINGTON,98383,N/A,47.6532,-122.6945
0330,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Onalaska,1210 CROSSING MEADOWS,ONALASKA,WISCONSIN,54650,N/A,43.9073,-91.194
0331,ALABAMA POWER,https://outagemap.alabamapower.com/,Salem AL,3141 LEE ROAD 179,SALEM,ALABAMA,36874,N/A,32.6068,-85.1897
0332,DTE ENERGY,https://outage.dteenergy.com/map,BELLEVILLE,43630 N Interstate 94 Service Dr,BELLEVILLE,MICHIGAN,48111,N/A,42.2175,-83.4858
0337,PG&E,https://www.pge.com/outagestatus,French Camp CA,251 W Yettner,FRENCH CAMP,CALIFORNIA,95231,N/A,37.8844,-121.2754
0340,ROCKY MOUNTAIN POWER,https://www.rockymountainpower.net/outages-safety.html,Helper.,5129 N Hwy 6 Helper,HELPER,UTAH,84526,N/A,39.7267,-110.8922
0341,OG&E,https://outagemap.oge.com/,Van Buren AR,5603 Alma Hwy Van Buren,VAN BUREN,ARKANSAS,72956,N/A,35.4363,-94.3487
0342,CONSUMERS ENERGY,https://www.consumersenergy.com/OutageMap,Houghton Lake MI,2424 W. Houghton Lake Dr Houghton Lake,HOUGHTON LAKE,MICHIGAN,48629,N/A,44.3128,-84.7691
0343,PACIFIC POWER,https://www.pacificpower.net/outages-safety.html,Bend,"63153 Nels Anderson Rd, Bend OR - Showroom Building Schedule 23",BEND,OREGON,97701,N/A,44.1169,-121.2578
0344,PG&E,https://www.pge.com/outagestatus,Yuba City CA,1375 Colusa HWY,YUBA CITY,CALIFORNIA,95993,N/A,39.1458,-121.6431
0346,SNOHOMISH COUNTY PUBLIC UTILITY DISTRICT NO. 1,https://outagemap.snopud.com/,Marysville WA,15855 Smokey Point Blvd Marysville,MARYSVILLE,WASHINGTON,98271,N/A,48.1397,-122.1768
0354,CLAY ELECTRIC COOPERATIVE INC,https://clayelectric.outagemap.coop/,Orange Park FL,"1150 Blanding Blvd,",ORANGE PARK,FLORIDA,32065,N/A,30.1668,-81.7507
0359,BENTON UTILITIES,https://bentonutilities.outagemap.coop/,Benton. AR,19501 | 30,SHERWOOD,ARKANSAS,72117,N/A,34.8322,-92.1993
0362,Georgia Power Co,"",Byron,100 Suncoast Dr,BYRON,GEORGIA,31008,N/A,32.6538,-83.7421
0364,WISCONSIN PUBLIC SERVICE CORP,https://www.wisconsinpublicservice.com/outagesummary/view/outagegrid?ref=nf,Green Bay WI,1956 Bond St - RV Service,GREEN BAY,WISCONSIN,54303,N/A,26.6748,-81.7995
0371,NRG ENERGY INC,https://www.nrg.com/resources/outages.html,Lewisville,1212 N Stemmons Freeway,LEWISVILLE,TEXAS,75067,Retail Provider - Uses Utility Outage Maps,30.546,-84.454
0376,CITY UTILITIES OF SPRINGFIELD,https://outagemap.cityutilities.net/,Springfield,836 N Glenstone Ave,SPRINGFIELD,MISSOURI,65802,N/A,37.2177,-93.2619
0616,COLDWATER BOARD OF PUBLIC UTIL,https://www.coldwater.org/451/Service-Outages,COLDWATER,373 N WILLOWBROOK RD STE Z,COLDWATER,MICHIGAN,49036,No Dedicated Outage Map,41.9534,-85.0098
0617,DUKE ENERGY,https://outagemap.duke-energy.com/,WINSTON-SALEM,910 HANES MALL BLVD,WINSTON SALEM,NORTH CAROLINA,27106,N/A,36.0668,-80.2967
0619,CITY WATER LIGHT & POWER,https://outagemap.cwlp.com/,SPRINGFIELD,2371 CHUCKWAGON DR.,SPRINGFIELD,ILLINOIS,62711,N/A,39.7685,-89.7214
0621,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,EAU CLAIRE,6440 SCULY DR EAU CLAIRE,EAU CLAIRE,WISCONSIN,54701,N/A,44.7447,-91.4314
0628,WE ENERGIES,https://www.we-energies.com/outagemapext/,APPLETON,535 N Westhill Boulevard,APPLETON,WISCONSIN,54914,N/A,44.2695,-88.4886
0632,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,AMARILLO,10300 I-40 Frontage Road,AMARILLO,TEXAS,79124,N/A,35.1918,-101.9554
0633,CONSUMERS ENERGY,https://www.consumersenergy.com/OutageMap,Flint,5038  MILLER RD UNIT 1U,FLINT,MICHIGAN,48507,N/A,42.973,-83.778
0634,APPALACHIAN POWER,https://outagemap.appalachianpower.com/,ROANOKE,8195 Gander Way,ROANOKE,VIRGINIA,24019,N/A,37.3378,-79.9587
0636,WISCONSIN PUBLIC SERVICE CORP,https://www.wisconsinpublicservice.com/outagesummary/view/outagegrid?ref=nf,WAUSAU,1560 COUNTY Road XX,MOSINEE,WISCONSIN,54455,N/A,44.8082,-89.6823
0637,WE ENERGIES,https://www.we-energies.com/outagemapext/,Kenosha,6801 120th Avenue,KENOSHA,WISCONSIN,53140,N/A,42.5714,-87.9528
0638,ALLIANT ENERGY,https://www.alliantenergy.com/customer-service/outage-center,DE FOREST,6199 METRO DRIVE,DE FOREST,WISCONSIN,53913,N/A,43.2478,-89.3431
0641,AES INDIANA,https://myaccount.aesindiana.com/outages/outagemap.html,INDIANAPOLIS,5702 E 86TH ST,INDIANAPOLIS,INDIANA,46250,N/A,39.9121,-86.0728
0644,DTE ENERGY,https://outage.dteenergy.com/map,Port Huron MI,4055 24th Avenue,FORT GRATIOT,MICHIGAN,48059,N/A,43.0508,-82.4878
